1;Liévin;PAS DE CALAIS;HAUTS DE FRANCE;278.579503942;264.045093268;276.572866678
2;Essey-lès-Nancy;MEURTHE ET MOSELLE;GRAND EST;271.470206918;265.460318714;275.205233377
3;Ortillon;AUBE;GRAND EST;210.761807465;259.684973382;231.339061560
4;Saint-Laurent-du-Var;ALPES MARITIMES;PROVENCE ALPES COTE D AZUR;217.803622562;211.954671983;223.668026979
5;Montjoie-le-Château;DOUBS;BOURGOGNE FRANCHE COMTE;214.077390035;237.312233070;214.510349537
6;Varennes-Saint-Honorat;HAUTE LOIRE;AUVERGNE RHONE ALPES;225.228950174;209.461034700;211.263407499
7;Poitiers;VIENNE;NOUVELLE AQUITAINE;201.910059609;155.049148446;207.803871685
8;Cunel;MEUSE;GRAND EST;205.703732609;197.240557935;207.603867910
9;Saint-Avold;MOSELLE;GRAND EST;212.107027033;200.642698601;206.785195085
10;Savigny-le-Temple;SEINE ET MARNE;ILE DE FRANCE;227.028419606;207.796017125;205.404689493
11;Orléans;LOIRET;CENTRE VAL DE LOIRE;196.146945597;177.763067522;200.436832732
12;Bagert;ARIEGE;OCCITANIE;192.086387474;236.711997866;199.224092762
13;Le Havre;SEINE MARITIME;NORMANDIE;189.929078149;177.184980520;198.934993460
14;Veauce;ALLIER;AUVERGNE RHONE ALPES;189.562299767;200.660253924;196.328082247
15;Vannes;MORBIHAN;BRETAGNE;194.750701030;186.561786940;192.276467925
16;Argut-Dessous;HAUTE GARONNE;OCCITANIE;211.323198258;156.843984118;191.456071877
17;Mont-Saint-Aignan;SEINE MARITIME;NORMANDIE;179.883417617;160.279343177;189.371084372
18;Gouy-les-Groseillers;OISE;HAUTS DE FRANCE;203.848384932;215.976706411;187.970275318
19;Puisenval;SEINE MARITIME;NORMANDIE;177.702778958;248.971431847;187.902949467
20;Aucelon;DROME;AUVERGNE RHONE ALPES;186.913018752;172.295835311;187.145335586
21;Arnayon;DROME;AUVERGNE RHONE ALPES;184.013267324;164.761050942;186.349355051
22;Verrières;ARDENNES;GRAND EST;182.948260116;217.220430293;185.843151684
23;Monnetay;JURA;BOURGOGNE FRANCHE COMTE;191.665419575;268.186805264;185.058110824
24;Angers;MAINE ET LOIRE;PAYS DE LA LOIRE;190.163658440;141.808351856;184.349680554
25;Rondefontaine;DOUBS;BOURGOGNE FRANCHE COMTE;179.464959116;212.093754316;183.825065140
26;Sainte-Lunaise;CHER;CENTRE VAL DE LOIRE;180.256974694;193.833962105;183.467711683
27;Arrodets;HAUTES PYRENEES;OCCITANIE;181.350221536;200.671175451;182.560916529
28;Paris 13e Arrondissement;PARIS;ILE DE FRANCE;158.958243101;169.412825428;180.147664682
29;Wasquehal;NORD;HAUTS DE FRANCE;170.730345424;156.683365970;179.981429695
30;Montclard;HAUTE LOIRE;AUVERGNE RHONE ALPES;200.807176713;191.437941846;179.724201705
31;Angers;MAINE ET LOIRE;PAYS DE LA LOIRE;178.586623192;142.378545366;178.704941889
32;Volvent;DROME;AUVERGNE RHONE ALPES;177.326995236;160.283685140;178.269316672
33;Vaulx-en-Velin;RHONE;AUVERGNE RHONE ALPES;165.201290635;156.662692055;177.126364380
34;Saint-Denis;LA REUNION;LA REUNION;176.814748113;163.731808438;176.814748113
35;Toulouse;HAUTE GARONNE;OCCITANIE;164.448261122;147.244612838;176.501673784
36;Reculfoz;DOUBS;BOURGOGNE FRANCHE COMTE;169.013548422;200.139553625;176.408998573
37;Marseille 9e Arrondissement;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR;166.573944781;165.030131244;175.711827400
38;Brest;FINISTERE;BRETAGNE;172.452154602;136.188427348;174.278732386
39;Brest;FINISTERE;BRETAGNE;171.219315953;142.772626599;173.781972216
40;Lille;NORD;HAUTS DE FRANCE;168.698305427;159.124132154;173.763760648
41;Villeurbanne;RHONE;AUVERGNE RHONE ALPES;153.219804128;143.635681222;173.351076597
42;La Villedieu;LOZERE;OCCITANIE;212.495261547;358.639788178;173.242471723
43;Pessac;GIRONDE;NOUVELLE AQUITAINE;156.515290032;132.076165050;173.197869737
44;Reims;MARNE;GRAND EST;161.470197464;134.446288094;171.859559134
45;Toulouse;HAUTE GARONNE;OCCITANIE;156.168533179;138.890432628;171.271453754
46;Orvault;LOIRE ATLANTIQUE;PAYS DE LA LOIRE;171.161750351;158.890498028;171.251592066
47;Clermont-Ferrand;PUY DE DOME;AUVERGNE RHONE ALPES;167.183188316;142.542044013;170.785101487
48;Évreux;EURE;NORMANDIE;177.726378227;150.772270461;170.437382316
49;Tignac;ARIEGE;OCCITANIE;161.944589408;196.684977286;169.918545458
50;Lamanère;PYRENEES ORIENTALES;OCCITANIE;150.133935311;185.897071089;169.884760438
51;La Couronne;CHARENTE;NOUVELLE AQUITAINE;172.140600460;147.909763215;169.584437436
52;Dijon;COTE D OR;BOURGOGNE FRANCHE COMTE;155.034407784;131.881488770;168.987962108
53;Caen;CALVADOS;NORMANDIE;163.022605247;132.435082847;168.851513764
54;Talence;GIRONDE;NOUVELLE AQUITAINE;156.229319367;136.966838717;168.432188207
55;Rennes;ILLE ET VILAINE;BRETAGNE;154.246578915;127.062971909;168.355028760
56;Thionville;MOSELLE;GRAND EST;170.627267823;171.697671687;168.335045552
57;Sansa;PYRENEES ORIENTALES;OCCITANIE;149.839320446;170.967187468;168.316874751
58;Le Mans;SARTHE;PAYS DE LA LOIRE;159.552331197;136.832863821;167.759310822
59;Galinagues;AUDE;OCCITANIE;165.818189369;175.353032112;166.963453200
60;Lomné;HAUTES PYRENEES;OCCITANIE;166.177666864;186.094976788;166.896792566
61;Vannes;MORBIHAN;BRETAGNE;169.468781699;161.163819016;166.173912189
62;Grenois;NIEVRE;BOURGOGNE FRANCHE COMTE;154.890976347;142.215498040;165.828809583
63;La Basse-Vaivre;HAUTE SAONE;BOURGOGNE FRANCHE COMTE;167.088151577;163.768193887;165.090580391
64;Besançon;DOUBS;BOURGOGNE FRANCHE COMTE;156.260659171;136.782462212;164.871406592
65;Angers;MAINE ET LOIRE;PAYS DE LA LOIRE;164.059345120;146.807025755;164.751383841
66;Alès;GARD;OCCITANIE;163.738988849;154.095180433;164.735531851
67;Saint-Nazaire;LOIRE ATLANTIQUE;PAYS DE LA LOIRE;169.500100792;158.144780881;164.523750974
68;Gradignan;GIRONDE;NOUVELLE AQUITAINE;151.614009203;131.745126821;164.324671813
69;Mont-Saint-Aignan;SEINE MARITIME;NORMANDIE;155.939810409;138.986570275;164.190601778
70;Revens;GARD;OCCITANIE;161.211907097;142.003625268;163.924866455
71;Marseille 9e Arrondissement;BOUCHES DU RHONE;PROVENCE ALPES COTE D AZUR;156.451541400;155.179568837;163.853109298
72;Reims;MARNE;GRAND EST;163.317766854;171.160821781;163.827762447
73;Bessède-de-Sault;AUDE;OCCITANIE;157.471163726;152.640637670;163.209125389
74;Cholet;MAINE ET LOIRE;PAYS DE LA LOIRE;162.117395133;158.741718543;162.961721663
75;La Villedieu;CREUSE;NOUVELLE AQUITAINE;161.792774139;150.488940359;162.881766485
76;La Roche-sur-Yon;VENDEE;PAYS DE LA LOIRE;177.136507535;151.243798767;162.631710806
77;Sablé-sur-Sarthe;SARTHE;PAYS DE LA LOIRE;153.596709880;149.138702770;162.255612092
78;Angers;MAINE ET LOIRE;PAYS DE LA LOIRE;159.740101111;133.363735655;161.870357908
79;Perpignan;PYRENEES ORIENTALES;OCCITANIE;149.147089425;141.155135399;161.813366627
80;Soyers;HAUTE MARNE;GRAND EST;154.582813019;166.652456273;161.683205737
81;Theuville;VAL D OISE;ILE DE FRANCE;168.675336357;257.002372551;161.679392297
82;Tours;INDRE ET LOIRE;CENTRE VAL DE LOIRE;158.557328775;138.725313434;161.669611183
83;La Valette-du-Var;VAR;PROVENCE ALPES COTE D AZUR;171.102584354;157.950064518;161.474351187
84;Nancy;MEURTHE ET MOSELLE;GRAND EST;149.598182343;122.439090598;161.362821406
85;Limoges;HAUTE VIENNE;NOUVELLE AQUITAINE;154.816534623;137.099126848;161.194287081
86;Fenouillet-du-Razès;AUDE;OCCITANIE;157.640444467;171.074997659;161.101667149
87;Saint-Martin-d'Hères;ISERE;AUVERGNE RHONE ALPES;161.288283719;132.611062491;161.003232101
88;Lorient;MORBIHAN;BRETAGNE;162.362231971;148.201756758;160.863128527
89;Granville;MANCHE;NORMANDIE;170.621357949;168.606649169;160.776636752
90;Rennes;ILLE ET VILAINE;BRETAGNE;150.883812871;140.398378957;160.576334591
91;Metz;MOSELLE;GRAND EST;164.026131324;143.164166778;160.357901707
92;Saint-Michel-en-Beaumont;ISERE;AUVERGNE RHONE ALPES;166.290905645;159.992260003;160.133807692
93;Montpellier;HERAULT;OCCITANIE;149.500441572;128.512669048;160.035431144
94;Nantes;LOIRE ATLANTIQUE;PAYS DE LA LOIRE;159.233715082;149.009997702;159.485293577
95;Rennes;ILLE ET VILAINE;BRETAGNE;160.138074399;148.852049732;159.266974991
96;Chalon-sur-Saône;SAONE ET LOIRE;BOURGOGNE FRANCHE COMTE;169.557211617;151.580613559;158.924432246
97;Rennes;ILLE ET VILAINE;BRETAGNE;154.443054228;149.291101459;158.864151862
98;Oyonnax;AIN;AUVERGNE RHONE ALPES;171.802402740;159.316339099;158.771142486
99;Grenoble;ISERE;AUVERGNE RHONE ALPES;161.429988821;144.197650660;158.752294280
100;Saint-Herblain;LOIRE ATLANTIQUE;PAYS DE LA LOIRE;150.858028391;128.885831380;158.737213273
101;Saint-Chamond;LOIRE;AUVERGNE RHONE ALPES;152.631714406;144.975243445;158.532263580
102;Le Pont-de-Claix;ISERE;AUVERGNE RHONE ALPES;165.217402936;154.669179056;158.495284116
103;Laval;MAYENNE;PAYS DE LA LOIRE;165.408422245;150.930715154;158.411117846
104;Évreux;EURE;NORMANDIE;165.795815663;133.942461218;158.279879690
105;Pommerol;DROME;AUVERGNE RHONE ALPES;157.044405642;186.842106227;158.221741668
106;Chasseneuil-du-Poitou;VIENNE;NOUVELLE AQUITAINE;144.986986475;108.312605583;158.179130784
107;Rennes;ILLE ET VILAINE;BRETAGNE;158.570577113;147.554999862;158.135519528
